gene_id,transcript_id
ENSG00000148484,ENST00000345264
ENSG00000136758,ENST00000326799
ENSG00000095739,ENST00000375533
ENSG00000122873,ENST00000333926
ENSG00000170312,ENST00000316629
ENSG00000150347,ENST00000279873
ENSG00000181915,ENST00000373783
ENSG00000198954,ENST00000361983
ENSG00000156502,ENST00000359655
ENSG00000156515,ENST00000298649
ENSG00000166228,ENST00000299299
ENSG00000168209,ENST00000307365
ENSG00000122882,ENST00000372979
ENSG00000182180,ENST00000372940
ENSG00000138279,ENST00000372919
ENSG00000156650,ENST00000287239
ENSG00000108175,ENST00000334512
ENSG00000026103,ENST00000313771
ENSG00000107798,ENST00000282673
ENSG00000119912,ENST00000265986
ENSG00000107438,ENST00000329399
ENSG00000077147,ENST00000371142
ENSG00000052749,ENST00000315563
ENSG00000171314,ENST00000334828
ENSG00000166197,ENST00000370007
ENSG00000077150,ENST00000189444
ENSG00000108039,ENST00000322238
ENSG00000119953,ENST00000369592
ENSG00000108055,ENST00000361804
ENSG00000023041,ENST00000369404
ENSG00000165806,ENST00000345633
ENSG00000107560,ENST00000355624
ENSG00000151929,ENST00000369085
ENSG00000066468,ENST00000336553
ENSG00000166033,ENST00000368984
ENSG00000176171,ENST00000368636
ENSG00000073614,ENST00000382815
ENSG00000004478,ENST00000001008
ENSG00000010292,ENST00000315579
ENSG00000111640,ENST00000229239
ENSG00000111652,ENST00000229251
ENSG00000111679,ENST00000318974
ENSG00000111276,ENST00000228872
ENSG00000013583,ENST00000014930
ENSG00000023697,ENST00000428559
ENSG00000111711,ENST00000229314
ENSG00000111731,ENST00000333957
ENSG00000087470,ENST00000266481
ENSG00000123268,ENST00000262053
ENSG00000110911,ENST00000262051
ENSG00000123374,ENST00000266970
ENSG00000065361,ENST00000267101
ENSG00000135473,ENST00000257931
ENSG00000111602,ENST00000229201
ENSG00000135446,ENST00000257904
ENSG00000118600,ENST00000261234
ENSG00000149948,ENST00000354636
ENSG00000166225,ENST00000299293
ENSG00000080371,ENST00000261263
ENSG00000139318,ENST00000279488
ENSG00000120833,ENST00000340600
ENSG00000198431,ENST00000354940
ENSG00000136051,ENST00000311317
ENSG00000136045,ENST00000412830
ENSG00000151148,ENST00000280774
ENSG00000204852,ENST00000377654
ENSG00000089022,ENST00000546394
ENSG00000135108,ENST00000330622
ENSG00000111445,ENST00000229043
ENSG00000089159,ENST00000228307
ENSG00000110917,ENST00000228506
ENSG00000110801,ENST00000261817
ENSG00000119242,ENST00000238156
ENSG00000073060,ENST00000261693
ENSG00000176894,ENST00000317479
ENSG00000121741,ENST00000382869
ENSG00000132970,ENST00000335327
ENSG00000133101,ENST00000255465
ENSG00000120686,ENST00000239878
ENSG00000120675,ENST00000379221
ENSG00000139687,ENST00000267163
ENSG00000204977,ENST00000298772
ENSG00000139793,ENST00000343600
ENSG00000125304,ENST00000376387
ENSG00000187498,ENST00000375820
ENSG00000088448,ENST00000267339
ENSG00000198176,ENST00000375370
ENSG00000129484,ENST00000250416
ENSG00000198805,ENST00000361505
ENSG00000100439,ENST00000216327
ENSG00000155463,ENST00000285848
ENSG00000197324,ENST00000359591
ENSG00000100889,ENST00000216780
